Model,Temperature,Repeat_Penalty,PASS,FAIL,ERROR,Total,Success_Rate(%)
codellama:latest,0.0,1.0,0,26,0,26,0.00
codellama:latest,0.0,1.1,0,26,0,26,0.00
codellama:latest,0.0,1.2,0,26,0,26,0.00
codellama:latest,0.0,1.3,0,26,0,26,0.00
codellama:latest,0.0,1.4,0,26,0,26,0.00
codellama:latest,0.0,1.5,0,26,0,26,0.00
codellama:latest,0.1,1.0,0,26,0,26,0.00
codellama:latest,0.1,1.1,0,26,0,26,0.00
codellama:latest,0.1,1.2,0,26,0,26,0.00
codellama:latest,0.1,1.3,0,26,0,26,0.00
codellama:latest,0.1,1.4,0,26,0,26,0.00
codellama:latest,0.1,1.5,0,26,0,26,0.00
codellama:latest,0.2,1.0,0,26,0,26,0.00
codellama:latest,0.2,1.1,0,26,0,26,0.00
codellama:latest,0.2,1.2,0,26,0,26,0.00
codellama:latest,0.2,1.3,0,26,0,26,0.00
codellama:latest,0.2,1.4,0,26,0,26,0.00
codellama:latest,0.2,1.5,0,26,0,26,0.00
codellama:latest,0.3,1.0,0,26,0,26,0.00
codellama:latest,0.3,1.1,0,26,0,26,0.00
codellama:latest,0.3,1.2,0,26,0,26,0.00
codellama:latest,0.3,1.3,0,26,0,26,0.00
codellama:latest,0.3,1.4,0,26,0,26,0.00
codellama:latest,0.3,1.5,0,26,0,26,0.00
codellama:latest,0.4,1.0,0,26,0,26,0.00
codellama:latest,0.4,1.1,0,26,0,26,0.00
codellama:latest,0.4,1.2,0,26,0,26,0.00
codellama:latest,0.4,1.3,0,26,0,26,0.00
codellama:latest,0.4,1.4,0,26,0,26,0.00
codellama:latest,0.4,1.5,0,26,0,26,0.00
codellama:latest,0.5,1.0,0,26,0,26,0.00
codellama:latest,0.5,1.1,0,26,0,26,0.00
codellama:latest,0.5,1.2,0,26,0,26,0.00
codellama:latest,0.5,1.3,0,26,0,26,0.00
codellama:latest,0.5,1.4,0,26,0,26,0.00
codellama:latest,0.5,1.5,0,26,0,26,0.00
codellama:latest,0.6,1.0,0,26,0,26,0.00
codellama:latest,0.6,1.1,0,26,0,26,0.00
codellama:latest,0.6,1.2,0,26,0,26,0.00
codellama:latest,0.6,1.3,0,26,0,26,0.00
codellama:latest,0.6,1.4,0,26,0,26,0.00
codellama:latest,0.6,1.5,0,26,0,26,0.00
codellama:latest,0.7,1.0,0,26,0,26,0.00
codellama:latest,0.7,1.1,0,26,0,26,0.00
codellama:latest,0.7,1.2,0,26,0,26,0.00
codellama:latest,0.7,1.3,0,26,0,26,0.00
codellama:latest,0.7,1.4,0,26,0,26,0.00
codellama:latest,0.7,1.5,0,26,0,26,0.00
codellama:latest,0.8,1.0,0,26,0,26,0.00
codellama:latest,0.8,1.1,0,26,0,26,0.00
codellama:latest,0.8,1.2,0,26,0,26,0.00
codellama:latest,0.8,1.3,0,26,0,26,0.00
codellama:latest,0.8,1.4,0,26,0,26,0.00
codellama:latest,0.8,1.5,0,26,0,26,0.00
deepseek-coder:6.7b,0.0,1.0,0,26,0,26,0.00
deepseek-coder:6.7b,0.0,1.1,0,26,0,26,0.00
deepseek-coder:6.7b,0.0,1.2,0,26,0,26,0.00
deepseek-coder:6.7b,0.0,1.3,0,26,0,26,0.00
deepseek-coder:6.7b,0.0,1.4,0,26,0,26,0.00
deepseek-coder:6.7b,0.0,1.5,0,26,0,26,0.00
deepseek-coder:6.7b,0.1,1.0,0,26,0,26,0.00
deepseek-coder:6.7b,0.1,1.1,0,26,0,26,0.00
deepseek-coder:6.7b,0.1,1.2,0,26,0,26,0.00
deepseek-coder:6.7b,0.1,1.3,0,26,0,26,0.00
deepseek-coder:6.7b,0.1,1.4,0,26,0,26,0.00
deepseek-coder:6.7b,0.1,1.5,0,26,0,26,0.00
deepseek-coder:6.7b,0.2,1.0,0,26,0,26,0.00
deepseek-coder:6.7b,0.2,1.1,0,26,0,26,0.00
deepseek-coder:6.7b,0.2,1.2,0,26,0,26,0.00
deepseek-coder:6.7b,0.2,1.3,0,26,0,26,0.00
deepseek-coder:6.7b,0.2,1.4,0,26,0,26,0.00
deepseek-coder:6.7b,0.2,1.5,0,26,0,26,0.00
deepseek-coder:6.7b,0.3,1.0,0,26,0,26,0.00
deepseek-coder:6.7b,0.3,1.1,0,26,0,26,0.00
deepseek-coder:6.7b,0.3,1.2,0,26,0,26,0.00
deepseek-coder:6.7b,0.3,1.3,0,26,0,26,0.00
deepseek-coder:6.7b,0.3,1.4,0,26,0,26,0.00
deepseek-coder:6.7b,0.3,1.5,0,26,0,26,0.00
deepseek-coder:6.7b,0.4,1.0,0,26,0,26,0.00
deepseek-coder:6.7b,0.4,1.1,0,26,0,26,0.00
deepseek-coder:6.7b,0.4,1.2,0,26,0,26,0.00
deepseek-coder:6.7b,0.4,1.3,0,26,0,26,0.00
deepseek-coder:6.7b,0.4,1.4,0,26,0,26,0.00
deepseek-coder:6.7b,0.4,1.5,0,26,0,26,0.00
deepseek-coder:6.7b,0.5,1.0,0,26,0,26,0.00
deepseek-coder:6.7b,0.5,1.1,0,26,0,26,0.00
deepseek-coder:6.7b,0.5,1.2,0,26,0,26,0.00
deepseek-coder:6.7b,0.5,1.3,0,26,0,26,0.00
deepseek-coder:6.7b,0.5,1.4,0,26,0,26,0.00
deepseek-coder:6.7b,0.5,1.5,0,26,0,26,0.00
deepseek-coder:6.7b,0.6,1.0,0,26,0,26,0.00
deepseek-coder:6.7b,0.6,1.1,0,26,0,26,0.00
deepseek-coder:6.7b,0.6,1.2,0,26,0,26,0.00
deepseek-coder:6.7b,0.6,1.3,0,26,0,26,0.00
deepseek-coder:6.7b,0.6,1.4,0,26,0,26,0.00
deepseek-coder:6.7b,0.6,1.5,0,26,0,26,0.00
deepseek-coder:6.7b,0.7,1.0,0,26,0,26,0.00
deepseek-coder:6.7b,0.7,1.1,0,26,0,26,0.00
deepseek-coder:6.7b,0.7,1.2,0,26,0,26,0.00
deepseek-coder:6.7b,0.7,1.3,0,26,0,26,0.00
deepseek-coder:6.7b,0.7,1.4,0,26,0,26,0.00
deepseek-coder:6.7b,0.7,1.5,0,26,0,26,0.00
deepseek-coder:6.7b,0.8,1.0,0,26,0,26,0.00
deepseek-coder:6.7b,0.8,1.1,0,26,0,26,0.00
deepseek-coder:6.7b,0.8,1.2,0,26,0,26,0.00
deepseek-coder:6.7b,0.8,1.3,0,26,0,26,0.00
deepseek-coder:6.7b,0.8,1.4,0,26,0,26,0.00
deepseek-coder:6.7b,0.8,1.5,0,26,0,26,0.00
deepseek-coder:latest,0.0,1.0,0,26,0,26,0.00
deepseek-coder:latest,0.0,1.1,0,26,0,26,0.00
deepseek-coder:latest,0.0,1.2,0,26,0,26,0.00
deepseek-coder:latest,0.0,1.3,0,26,0,26,0.00
deepseek-coder:latest,0.0,1.4,0,26,0,26,0.00
deepseek-coder:latest,0.0,1.5,0,26,0,26,0.00
deepseek-coder:latest,0.1,1.0,0,26,0,26,0.00
deepseek-coder:latest,0.1,1.1,0,26,0,26,0.00
deepseek-coder:latest,0.1,1.2,0,26,0,26,0.00
deepseek-coder:latest,0.1,1.3,0,26,0,26,0.00
deepseek-coder:latest,0.1,1.4,0,26,0,26,0.00
deepseek-coder:latest,0.1,1.5,0,26,0,26,0.00
deepseek-coder:latest,0.2,1.0,0,26,0,26,0.00
deepseek-coder:latest,0.2,1.1,0,26,0,26,0.00
deepseek-coder:latest,0.2,1.2,0,26,0,26,0.00
deepseek-coder:latest,0.2,1.3,0,26,0,26,0.00
deepseek-coder:latest,0.2,1.4,0,26,0,26,0.00
deepseek-coder:latest,0.2,1.5,0,26,0,26,0.00
deepseek-coder:latest,0.3,1.0,0,26,0,26,0.00
